bite_date,SpeciesIDDesc,BreedIDDesc,GenderIDDesc,main_color,color,vaccination_yrs,vaccination_date,victim_zip,AdvIssuedYNDesc,WhereBittenIDDesc,quarantine_date,DispositionIDDesc,head_sent_date,release_date,ResultsIDDesc
5/5/1985 00:00,DOG,,FEMALE,BLACK,LIG. BROWN,1,6/20/1985 00:00,40229,NO,BODY,5/5/1985 00:00,UNKNOWN,,,UNKNOWN
2/12/1986 00:00,DOG,,UNKNOWN,BROWN,BRO & BLA,,,40218,NO,BODY,2/12/1986 00:00,UNKNOWN,,,UNKNOWN
5/7/1987 00:00,DOG,,UNKNOWN,,,,,40219,NO,BODY,5/7/1990 00:00,UNKNOWN,,,UNKNOWN
10/2/1988 00:00,DOG,,MALE,BLACK,BLA & BRO,,,,NO,BODY,10/2/1990 00:00,UNKNOWN,,,UNKNOWN
8/29/1989 00:00,DOG,,FEMALE,BLACK,BLK-WHT,,,,NO,BODY,,UNKNOWN,,,UNKNOWN
11/24/1989 00:00,DOG,,UNKNOWN,,,,,40211,NO,BODY,,UNKNOWN,,,UNKNOWN
2/8/1990 00:00,DOG,,FEMALE,BLACK,BLACK/WHIT,1,2/13/1990 00:00,40203,NO,BODY,2/12/1990 00:00,UNKNOWN,,,UNKNOWN
2/22/1990 00:00,DOG,,MALE,BLACK,BLK-WHT,,,,NO,BODY,2/23/1990 00:00,RELEASED,,,UNKNOWN
8/2/1990 00:00,DOG,,MALE,BROWN,BROWN,,,,NO,BODY,8/2/1990 00:00,UNKNOWN,,,UNKNOWN
8/19/1990 00:00,DOG,,UNKNOWN,BROWN,BRN-TAN,,,,NO,BODY,8/20/1990 00:00,RELEASED,,,UNKNOWN
8/31/1990 00:00,DOG,,MALE,TRICOLOR,TRI,,,,NO,HEAD,9/4/1990 00:00,RELEASED,,,UNKNOWN
10/20/1990 00:00,DOG,,MALE,BLACK,BLK,,,,NO,BODY,10/22/1990 00:00,RELEASED,,,UNKNOWN
2/9/1991 00:00,DOG,,MALE,BLACK,BLK-BRN,,,,NO,BODY,2/13/1991 00:00,RELEASED,,,UNKNOWN
7/5/1991 00:00,DOG,,MALE,BLACK,BLK-BRN,,,,YES,BODY,7/9/1991 00:00,RELEASED,,,UNKNOWN
9/14/1991 00:00,DOG,,MALE,WHITE,WHT,,,,NO,BODY,9/19/1991 00:00,RELEASED,,,UNKNOWN
10/9/1991 00:00,DOG,,FEMALE,WHITE,WHT-BRN,,,,NO,HEAD,10/11/1991 00:00,RELEASED,,,UNKNOWN
11/7/1991 00:00,DOG,,UNKNOWN,,,,,,NO,BODY,11/14/1991 00:00,RELEASED,,,UNKNOWN
2/8/1992 00:00,DOG,,MALE,BLACK,BLK,,,,NO,BODY,2/12/1992 00:00,UNKNOWN,,,UNKNOWN
2/27/1992 00:00,DOG,,MALE,BLACK,BLK-TAN,,,,NO,BODY,3/2/1992 00:00,RELEASED,,,UNKNOWN
3/6/1992 00:00,DOG,,MALE,WHITE,WHT,,,,NO,BODY,3/11/1992 00:00,RELEASED,,,UNKNOWN
3/18/1992 00:00,CAT,,UNKNOWN,,,,,,NO,HEAD,3/24/1992 00:00,RELEASED,,,UNKNOWN
4/6/1992 00:00,DOG,,UNKNOWN,BLACK,BLK,,,,NO,BODY,4/8/1992 00:00,RELEASED,,,UNKNOWN
5/6/1992 00:00,DOG,,UNKNOWN,BLACK,BLK,,,,NO,BODY,5/9/1992 00:00,RELEASED,,,UNKNOWN
6/4/1992 00:00,DOG,,MALE,BROWN,BRN,,,,NO,BODY,6/10/1992 00:00,RELEASED,,,UNKNOWN
6/29/1992 00:00,DOG,,FEMALE,RED,RED,,,,NO,BODY,6/30/1992 00:00,RELEASED,,,UNKNOWN
8/6/1992 00:00,DOG,,UNKNOWN,WHITE,WHITE,,,40215,NO,BODY,8/6/1992 00:00,RELEASED,,,UNKNOWN
8/26/1992 00:00,DOG,,MALE,BROWN,BRN-BLK,,,40210,NO,BODY,8/31/1992 00:00,RELEASED,,,UNKNOWN
4/4/1993 00:00,DOG,,UNKNOWN,,,,,,NO,BODY,4/5/1993 00:00,RELEASED,,,UNKNOWN
4/6/1993 00:00,CAT,,UNKNOWN,,,,,,NO,BODY,4/19/1993 00:00,RELEASED,,,UNKNOWN
5/12/1993 00:00,DOG,,MALE,BROWN,BRN,,,,NO,HEAD,5/14/1993 00:00,RELEASED,,,UNKNOWN
6/20/1993 00:00,DOG,,UNKNOWN,,,,,,NO,BODY,6/21/1993 00:00,RELEASED,,,UNKNOWN
7/9/1993 00:00,DOG,,FEMALE,BROWN,BRN,,,,YES,BODY,7/9/1993 00:00,RELEASED,,,UNKNOWN
12/4/1993 00:00,DOG,,UNKNOWN,,,,,,NO,BODY,12/6/1993 00:00,RELEASED,,,UNKNOWN
3/31/1994 00:00,DOG,,MALE,BROWN,BRN-BLK,,,,NO,BODY,4/6/1994 00:00,RELEASED,,,UNKNOWN
